class_names,EEG_B2-FM,EEG_B2-PM,EEG_B2-TR,EEG_B2-C,EEG_B2-FMAI,EEG_B3-FM,EEG_B3-PM,EEG_B3-TR,EEG_B3-C,EEG_B3-FMAI,EEG_B4-FM,EEG_B4-PM,EEG_B4-TR,EEG_B4-C,EEG_B4-FMAI,EEG_B5-FM,EEG_B5-PM,EEG_B5-TR,EEG_B5-C,EEG_B5-FMAI,EEG_B1-FM,EEG_B1-PM,EEG_B1-TR,EEG_B1-C,EEG_B1-FMAI,EEG_B6-FM,EEG_B6-PM,EEG_B6-TR,EEG_B6-C,EEG_B6-FMAI,EEG_B7-FM,EEG_B7-PM,EEG_B7-TR,EEG_B7-C,EEG_B7-FMAI,EEG_B8-FM,EEG_B8-PM,EEG_B8-TR,EEG_B8-C,EEG_B8-FMAI,EEG_B16-FM,EEG_B16-PM,EEG_B16-TR,EEG_B16-C,EEG_B16-FMAI,EEG_B24-FM,EEG_B24-PM,EEG_B24-TR,EEG_B24-C,EEG_B24-FMAI
10.0,"[4.0, 1.0]","[0.0, 3.0]","[-1.9413, -0.0675]","[4.0, 6.0]","[4.0, 2.0]","[4.0, 1.0]","[0.0, 3.0]","[-1.8167, -0.0957]","[4.0, 6.0]","[4.0, 2.0]","[4.0, 1.0]","[0.0, 3.0]","[-1.6655, -0.1392]","[4.0, 6.0]","[3.0, 2.0]","[1.0, 6.0]","[0.0, 0.0]","[-1.938, -0.0573]","[4.0, 6.0]","[3.0, 1.0]","[4.0, 1.0]","[0.0, 3.0]","[-1.9838, -0.0596]","[4.0, 6.0]","[4.0, 2.0]","[1.0, 1.0]","[0.0, 0.0]","[-3.1242, 0.1112]","[4.0, 3.0]","[5.0, 4.0]","[1.0, 1.0]","[0.0, 3.0]","[-3.0314, 0.4987]","[7.0, 3.0]","[2.0, 2.0]","[1.0, 1.0]","[0.0, 3.0]","[-2.2858, 0.5798]","[7.0, 3.0]","[2.0, 2.0]","[1.0, 1.0]","[0.0, 0.0]","[-3.8149, -4.6864]","[6.0, 3.0]","[5.0, 2.0]","[1.0, 1.0]","[2.0, 4.0]","[-4.2109, -5.0046]","[4.0, 2.0]","[3.0, 1.0]"
11.0,"[2.0, 1.0, 2.0]","[5.0, 3.0, 0.0]","[-0.3415, -1.8755, 0.165]","[4.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[5.0, 5.0, 0.0]","[-0.6696, -1.0052, 0.5404]","[4.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[4.0, 4.0, 0.0]","[-1.4737, 1.3422, 0.7417]","[4.0, 4.0, 3.0]","[1.0, 3.0, 2.0]","[2.0, 4.0, 5.0]","[2.0, 4.0, 0.0]","[-1.7885, 1.8624, -1.4102]","[5.0, 5.0, 3.0]","[1.0, 1.0, 2.0]","[2.0, 1.0, 2.0]","[5.0, 3.0, 0.0]","[-0.2584, -2.0693, 0.0409]","[4.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[3.0, 2.0, 3.0]","[0.0, 5.0, 0.0]","[0.3536, 0.8635, -2.5594]","[5.0, 5.0, 3.0]","[1.0, 1.0, 1.0]","[3.0, 2.0, 2.0]","[0.0, 3.0, 0.0]","[-0.5057, 0.7162, -2.3805]","[4.0, 4.0, 3.0]","[1.0, 2.0, 2.0]","[3.0, 2.0, 2.0]","[0.0, 3.0, 0.0]","[-1.1503, 0.725, -2.1097]","[3.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[0.0, 3.0, 0.0]","[-2.1129, 0.0305, -0.9967]","[4.0, 4.0, 3.0]","[1.0, 2.0, 2.0]","[2.0, 2.0, 7.0]","[5.0, 3.0, 0.0]","[-3.2861, 1.0035, 1.499]","[3.0, 5.0, 3.0]","[4.0, 2.0, 1.0]"
12.0,"[1.0, 2.0, 3.0]","[4.0, 3.0, 3.0]","[-3.6403, -0.718, -1.9324]","[4.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[1.0, 2.0, 3.0]","[5.0, 3.0, 3.0]","[-3.8718, -0.706, -1.7208]","[4.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[1.0, 2.0, 3.0]","[5.0, 5.0, 3.0]","[-2.4866, -0.7801, -1.251]","[4.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[1.0, 2.0, 3.0]","[3.0, 5.0, 5.0]","[-0.9464, -1.3936, -0.5319]","[4.0, 5.0, 4.0]","[2.0, 1.0, 2.0]","[1.0, 2.0, 3.0]","[4.0, 2.0, 3.0]","[-3.4901, -0.7261, -1.993]","[3.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[1.0, 2.0, 1.0]","[3.0, 0.0, 4.0]","[-1.6477, -2.1413, -0.7468]","[6.0, 6.0, 4.0]","[4.0, 1.0, 2.0]","[1.0, 2.0, 3.0]","[3.0, 0.0, 5.0]","[-1.9123, -2.6896, -0.8153]","[3.0, 5.0, 2.0]","[3.0, 1.0, 2.0]","[1.0, 2.0, 4.0]","[3.0, 5.0, 5.0]","[-1.3784, -3.4991, -0.7671]","[7.0, 5.0, 2.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 2.0]","[4.0, 0.0, 2.0]","[-0.9537, -4.7742, 0.0768]","[5.0, 3.0, 3.0]","[2.0, 2.0, 1.0]","[1.0, 2.0, 2.0]","[0.0, 0.0, 0.0]","[-2.8982, -3.6356, -2.2946]","[3.0, 3.0, 3.0]","[2.0, 1.0, 2.0]"
13.0,"[2.0, 1.0]","[2.0, 0.0]","[-0.5137, 1.4313]","[2.0, 4.0]","[3.0, 3.0]","[2.0, 1.0]","[2.0, 0.0]","[-0.3017, 1.3007]","[2.0, 4.0]","[3.0, 3.0]","[2.0, 1.0]","[2.0, 0.0]","[0.6998, 0.9931]","[5.0, 4.0]","[4.0, 5.0]","[2.0, 1.0]","[3.0, 0.0]","[0.0632, 0.69]","[5.0, 4.0]","[1.0, 4.0]","[2.0, 1.0]","[2.0, 0.0]","[-0.5219, 1.4652]","[2.0, 4.0]","[3.0, 3.0]","[2.0, 3.0]","[4.0, 3.0]","[-0.0419, 0.3869]","[5.0, 7.0]","[1.0, 1.0]","[2.0, 2.0]","[4.0, 3.0]","[0.6538, 0.3054]","[6.0, 4.0]","[1.0, 6.0]","[2.0, 2.0]","[5.0, 3.0]","[1.0576, 0.6622]","[6.0, 4.0]","[1.0, 3.0]","[1.0, 2.0]","[3.0, 0.0]","[0.4089, 1.7181]","[5.0, 3.0]","[2.0, 2.0]","[2.0, 2.0]","[5.0, 0.0]","[-0.9968, 2.1687]","[5.0, 3.0]","[3.0, 2.0]"
14.0,"[4.0, 1.0]","[0.0, 3.0]","[-0.863, -1.6819]","[3.0, 2.0]","[3.0, 4.0]","[4.0, 1.0]","[4.0, 4.0]","[-0.8718, -1.504]","[4.0, 2.0]","[3.0, 3.0]","[4.0, 1.0]","[4.0, 4.0]","[-0.7966, 0.7069]","[4.0, 3.0]","[3.0, 3.0]","[1.0, 1.0]","[3.0, 4.0]","[-0.5364, 3.698]","[4.0, 5.0]","[2.0, 3.0]","[4.0, 1.0]","[0.0, 3.0]","[-0.8555, -1.6749]","[3.0, 2.0]","[3.0, 4.0]","[1.0, 1.0]","[0.0, 4.0]","[-0.7429, 3.7059]","[3.0, 6.0]","[2.0, 2.0]","[1.0, 1.0]","[0.0, 4.0]","[-1.2846, 3.0818]","[6.0, 6.0]","[2.0, 2.0]","[1.0, 1.0]","[5.0, 4.0]","[-1.2542, 2.0063]","[5.0, 6.0]","[4.0, 3.0]","[2.0, 1.0]","[5.0, 5.0]","[2.1428, 1.4862]","[5.0, 8.0]","[5.0, 3.0]","[4.0, 1.0]","[0.0, 4.0]","[0.1726, 2.3138]","[5.0, 5.0]","[1.0, 5.0]"
15.0,"[2.0, 1.0]","[2.0, 5.0]","[-0.0139, 0.3432]","[4.0, 2.0]","[1.0, 1.0]","[4.0, 1.0]","[2.0, 5.0]","[-0.1151, 0.4776]","[4.0, 3.0]","[1.0, 1.0]","[4.0, 1.0]","[2.0, 5.0]","[-0.2794, 0.7344]","[4.0, 3.0]","[1.0, 1.0]","[7.0, 2.0]","[2.0, 5.0]","[-0.312, 1.0111]","[6.0, 5.0]","[1.0, 3.0]","[2.0, 1.0]","[2.0, 5.0]","[0.0188, 0.3024]","[4.0, 2.0]","[1.0, 1.0]","[7.0, 2.0]","[4.0, 5.0]","[-0.3556, 0.6387]","[5.0, 3.0]","[2.0, 3.0]","[3.0, 1.0]","[3.0, 5.0]","[-0.9578, 0.1878]","[4.0, 3.0]","[2.0, 1.0]","[3.0, 1.0]","[3.0, 5.0]","[-0.9802, 0.5081]","[4.0, 3.0]","[2.0, 1.0]","[5.0, 2.0]","[3.0, 4.0]","[-1.7177, -3.381]","[4.0, 3.0]","[3.0, 3.0]","[5.0, 1.0]","[3.0, 4.0]","[-1.5247, -1.7091]","[2.0, 2.0]","[3.0, 1.0]"
16.0,"[2.0, 3.0, 2.0]","[5.0, 0.0, 0.0]","[-3.1391, -2.1792, 0.5709]","[2.0, 4.0, 4.0]","[4.0, 2.0, 2.0]","[2.0, 3.0, 2.0]","[5.0, 0.0, 4.0]","[-3.362, -2.2602, 0.4623]","[2.0, 4.0, 4.0]","[4.0, 2.0, 2.0]","[2.0, 9.0, 2.0]","[0.0, 0.0, 4.0]","[-3.7748, -2.3418, 0.1738]","[2.0, 4.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 5.0, 2.0]","[0.0, 0.0, 4.0]","[-4.3131, -1.6768, -0.8164]","[3.0, 4.0, 2.0]","[2.0, 2.0, 2.0]","[2.0, 3.0, 2.0]","[5.0, 0.0, 0.0]","[-3.0692, -2.1531, 0.6014]","[3.0, 4.0, 4.0]","[4.0, 2.0, 2.0]","[2.0, 5.0, 1.0]","[0.0, 0.0, 4.0]","[-4.3236, -1.4224, -1.4219]","[2.0, 6.0, 4.0]","[2.0, 2.0, 2.0]","[2.0, 3.0, 2.0]","[4.0, 0.0, 4.0]","[-3.5727, -1.7098, -1.7709]","[3.0, 4.0, 5.0]","[5.0, 2.0, 2.0]","[2.0, 3.0, 2.0]","[2.0, 0.0, 2.0]","[-3.1687, -2.219, -2.2368]","[3.0, 4.0, 5.0]","[4.0, 2.0, 2.0]","[1.0, 3.0, 2.0]","[3.0, 0.0, 4.0]","[-0.2883, -0.4812, 0.4683]","[7.0, 4.0, 7.0]","[5.0, 1.0, 1.0]","[2.0, 3.0, 3.0]","[4.0, 0.0, 4.0]","[-0.1723, -2.1676, -0.8163]","[5.0, 5.0, 4.0]","[1.0, 1.0, 1.0]"
17.0,"[1.0, 2.0]","[2.0, 3.0]","[-3.3756, 0.1474]","[2.0, 5.0]","[3.0, 1.0]","[1.0, 2.0]","[2.0, 3.0]","[-3.6784, -0.1083]","[2.0, 5.0]","[3.0, 1.0]","[1.0, 1.0]","[2.0, 0.0]","[-4.0818, -0.5491]","[2.0, 4.0]","[3.0, 5.0]","[1.0, 1.0]","[2.0, 3.0]","[-4.3736, -0.7779]","[2.0, 5.0]","[1.0, 3.0]","[1.0, 2.0]","[2.0, 3.0]","[-3.2688, 0.2137]","[2.0, 5.0]","[3.0, 1.0]","[1.0, 4.0]","[2.0, 5.0]","[-4.4034, -1.3929]","[2.0, 7.0]","[1.0, 2.0]","[1.0, 1.0]","[2.0, 4.0]","[-4.3235, -0.7341]","[2.0, 5.0]","[1.0, 4.0]","[1.0, 1.0]","[2.0, 4.0]","[-4.4255, -0.0652]","[2.0, 4.0]","[1.0, 2.0]","[2.0, 2.0]","[3.0, 0.0]","[-1.4669, 1.2264]","[3.0, 3.0]","[2.0, 5.0]","[1.0, 1.0]","[3.0, 5.0]","[0.0084, 0.7577]","[4.0, 6.0]","[2.0, 2.0]"
18.0,"[4.0, 5.0, 2.0, 1.0, 2.0]","[0.0, 5.0, 3.0, 4.0, 3.0]","[-0.6777, -0.6927, -1.2437, 2.4561, -2.6011]","[5.0, 6.0, 4.0, 7.0, 3.0]","[2.0, 3.0, 1.0, 1.0, 2.0]","[4.0, 7.0, 2.0, 2.0, 2.0]","[0.0, 5.0, 3.0, 4.0, 3.0]","[-0.594, -0.0727, -1.1921, 2.276, -2.2786]","[5.0, 6.0, 4.0, 7.0, 3.0]","[2.0, 3.0, 1.0, 5.0, 2.0]","[4.0, 7.0, 3.0, 2.0, 2.0]","[0.0, 4.0, 3.0, 2.0, 3.0]","[-0.3428, 0.5601, -1.133, 1.8151, -1.0039]","[5.0, 6.0, 4.0, 4.0, 3.0]","[2.0, 3.0, 2.0, 2.0, 2.0]","[3.0, 7.0, 1.0, 2.0, 2.0]","[0.0, 2.0, 3.0, 4.0, 3.0]","[0.295, 0.4477, -1.1622, 1.259, 1.8485]","[5.0, 11.0, 4.0, 4.0, 3.0]","[3.0, 3.0, 2.0, 2.0, 2.0]","[4.0, 5.0, 2.0, 1.0, 2.0]","[0.0, 5.0, 3.0, 4.0, 3.0]","[-0.6983, -0.879, -1.2614, 2.496, -2.6698]","[5.0, 6.0, 4.0, 7.0, 3.0]","[3.0, 2.0, 1.0, 1.0, 2.0]","[3.0, 8.0, 3.0, 4.0, 2.0]","[4.0, 2.0, 3.0, 0.0, 3.0]","[0.8293, 0.0396, -0.7984, 1.3786, 2.2681]","[5.0, 10.0, 4.0, 5.0, 6.0]","[1.0, 3.0, 2.0, 1.0, 2.0]","[2.0, 8.0, 2.0, 4.0, 2.0]","[4.0, 0.0, 3.0, 0.0, 3.0]","[0.5302, -0.0948, -0.6303, 2.3318, 1.4114]","[3.0, 10.0, 4.0, 5.0, 6.0]","[1.0, 3.0, 1.0, 1.0, 2.0]","[1.0, 9.0, 2.0, 1.0, 2.0]","[4.0, 0.0, 3.0, 4.0, 3.0]","[0.3267, -0.3742, -0.3986, 2.1692, 1.0548]","[3.0, 8.0, 4.0, 5.0, 6.0]","[4.0, 4.0, 1.0, 2.0, 2.0]","[1.0, 9.0, 6.0, 3.0, 3.0]","[3.0, 0.0, 0.0, 3.0, 3.0]","[-3.2914, 0.1901, -1.1457, -1.9258, 3.3859]","[5.0, 7.0, 4.0, 3.0, 8.0]","[1.0, 4.0, 1.0, 3.0, 1.0]","[1.0, 4.0, 5.0, 1.0, 2.0]","[3.0, 0.0, 0.0, 4.0, 3.0]","[2.5236, -1.7819, 0.5482, 2.3303, 2.3035]","[5.0, 4.0, 4.0, 4.0, 7.0]","[2.0, 3.0, 1.0, 1.0, 2.0]"
19.0,"[1.0, 4.0, 1.0, 1.0, 1.0]","[3.0, 5.0, 3.0, 4.0, 3.0]","[-1.3917, 0.0645, -0.0096, -0.898, -2.2049]","[3.0, 5.0, 4.0, 3.0, 3.0]","[1.0, 1.0, 2.0, 4.0, 1.0]","[1.0, 4.0, 1.0, 1.0, 2.0]","[3.0, 5.0, 3.0, 4.0, 3.0]","[-1.0771, 0.1996, -0.0541, -0.9692, -2.121]","[3.0, 5.0, 4.0, 3.0, 3.0]","[1.0, 1.0, 2.0, 4.0, 2.0]","[3.0, 4.0, 1.0, 1.0, 2.0]","[5.0, 5.0, 3.0, 4.0, 3.0]","[-0.9322, 0.6573, -0.1744, -1.0414, -1.3468]","[3.0, 5.0, 4.0, 3.0, 3.0]","[5.0, 1.0, 2.0, 4.0, 1.0]","[2.0, 2.0, 7.0, 1.0, 1.0]","[2.0, 0.0, 4.0, 4.0, 3.0]","[-1.839, 1.4932, -0.4006, -0.7736, -0.321]","[3.0, 5.0, 5.0, 3.0, 3.0]","[3.0, 1.0, 2.0, 5.0, 3.0]","[1.0, 4.0, 1.0, 1.0, 1.0]","[3.0, 5.0, 3.0, 4.0, 3.0]","[-1.4978, 0.0352, 0.0024, -0.8725, -2.1922]","[3.0, 5.0, 4.0, 3.0, 3.0]","[1.0, 1.0, 2.0, 4.0, 1.0]","[2.0, 3.0, 2.0, 1.0, 1.0]","[2.0, 0.0, 4.0, 5.0, 0.0]","[-1.5404, 1.4865, -0.8844, -0.5522, 0.8297]","[3.0, 4.0, 4.0, 2.0, 3.0]","[1.0, 3.0, 1.0, 4.0, 5.0]","[4.0, 3.0, 3.0, 1.0, 1.0]","[0.0, 0.0, 4.0, 5.0, 0.0]","[-1.0299, 1.188, -0.8492, -0.8732, 1.5443]","[3.0, 4.0, 4.0, 2.0, 4.0]","[2.0, 3.0, 3.0, 5.0, 2.0]","[4.0, 3.0, 3.0, 1.0, 1.0]","[0.0, 4.0, 4.0, 5.0, 0.0]","[-0.8551, 0.7804, -1.0108, -0.8274, 1.5238]","[6.0, 5.0, 4.0, 3.0, 4.0]","[2.0, 1.0, 3.0, 4.0, 2.0]","[2.0, 1.0, 3.0, 1.0, 1.0]","[0.0, 5.0, 4.0, 3.0, 5.0]","[-0.8616, 0.8639, -0.0426, -1.4801, 0.4055]","[5.0, 3.0, 4.0, 2.0, 2.0]","[2.0, 4.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 9.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 0.0]","[1.2899, 1.2632, 0.882, -1.295, 0.0493]","[6.0, 5.0, 4.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 4.0, 1.0]"
20.0,"[4.0, 1.0]","[5.0, 0.0]","[0.3753, -1.1973]","[3.0, 3.0]","[5.0, 2.0]","[2.0, 1.0]","[5.0, 0.0]","[0.6246, -1.2784]","[3.0, 5.0]","[2.0, 2.0]","[2.0, 1.0]","[2.0, 0.0]","[1.0526, -1.3358]","[3.0, 5.0]","[2.0, 2.0]","[2.0, 1.0]","[5.0, 0.0]","[0.3642, -0.7793]","[3.0, 5.0]","[3.0, 3.0]","[1.0, 1.0]","[5.0, 0.0]","[0.3125, -1.1702]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 3.0]","[5.0, 3.0]","[0.6713, -0.8532]","[3.0, 5.0]","[1.0, 2.0]","[1.0, 1.0]","[5.0, 3.0]","[0.9757, -1.638]","[3.0, 5.0]","[4.0, 3.0]","[2.0, 1.0]","[5.0, 0.0]","[1.0369, -1.3151]","[3.0, 4.0]","[4.0, 3.0]","[1.0, 2.0]","[5.0, 0.0]","[2.0166, -2.2757]","[4.0, 2.0]","[1.0, 2.0]","[1.0, 2.0]","[5.0, 5.0]","[1.7502, -3.0895]","[3.0, 2.0]","[1.0, 2.0]"
21.0,"[4.0, 5.0, 4.0]","[4.0, 5.0, 4.0]","[2.5906, 1.2033, -2.5918]","[4.0, 3.0, 3.0]","[1.0, 3.0, 1.0]","[4.0, 2.0, 4.0]","[4.0, 5.0, 4.0]","[2.414, 1.3178, -2.5745]","[4.0, 3.0, 3.0]","[1.0, 1.0, 1.0]","[4.0, 2.0, 4.0]","[4.0, 5.0, 4.0]","[1.8287, 1.5624, -2.5113]","[4.0, 3.0, 3.0]","[1.0, 1.0, 1.0]","[2.0, 1.0, 4.0]","[4.0, 5.0, 4.0]","[0.0074, 1.9643, -2.166]","[3.0, 3.0, 3.0]","[2.0, 5.0, 1.0]","[4.0, 5.0, 4.0]","[4.0, 5.0, 4.0]","[2.6325, 1.1698, -2.5958]","[4.0, 3.0, 3.0]","[1.0, 3.0, 1.0]","[2.0, 1.0, 4.0]","[4.0, 5.0, 4.0]","[-1.543, 2.0685, -1.8287]","[3.0, 3.0, 4.0]","[2.0, 4.0, 1.0]","[2.0, 1.0, 4.0]","[0.0, 5.0, 4.0]","[-1.3322, 1.7421, -2.3529]","[3.0, 3.0, 3.0]","[2.0, 2.0, 1.0]","[4.0, 1.0, 4.0]","[0.0, 5.0, 4.0]","[-1.0471, 1.5514, -2.4344]","[3.0, 3.0, 3.0]","[1.0, 2.0, 1.0]","[5.0, 1.0, 5.0]","[0.0, 3.0, 4.0]","[-0.7576, 0.8814, -1.8886]","[3.0, 3.0, 4.0]","[1.0, 3.0, 1.0]","[5.0, 1.0, 5.0]","[0.0, 5.0, 4.0]","[-1.743, 0.8943, -0.1714]","[3.0, 3.0, 4.0]","[2.0, 2.0, 1.0]"
22.0,[3.0],[0.0],[-2.8609],[3.0],[1.0],[3.0],[0.0],[-2.7678],[3.0],[1.0],[3.0],[0.0],[-2.4686],[3.0],[1.0],[3.0],[0.0],[-1.2923],[5.0],[3.0],[3.0],[0.0],[-2.8839],[3.0],[1.0],[3.0],[3.0],[-0.0952],[7.0],[2.0],[3.0],[4.0],[-0.0955],[7.0],[3.0],[6.0],[4.0],[0.174],[7.0],[2.0],[2.0],[2.0],[0.0302],[4.0],[1.0],[2.0],[2.0],[0.0645],[4.0],[1.0]
23.0,"[3.0, 1.0, 1.0]","[0.0, 3.0, 5.0]","[1.9839, -0.1737, -3.6385]","[4.0, 4.0, 2.0]","[3.0, 1.0, 2.0]","[3.0, 3.0, 1.0]","[0.0, 3.0, 5.0]","[2.0497, 0.4375, -3.3963]","[4.0, 4.0, 2.0]","[3.0, 4.0, 2.0]","[3.0, 3.0, 1.0]","[0.0, 3.0, 0.0]","[2.1769, 1.9546, -2.6222]","[4.0, 4.0, 3.0]","[3.0, 4.0, 5.0]","[4.0, 3.0, 3.0]","[0.0, 0.0, 0.0]","[2.2184, 1.8205, -0.5821]","[4.0, 5.0, 3.0]","[2.0, 3.0, 1.0]","[3.0, 1.0, 1.0]","[0.0, 3.0, 5.0]","[1.9652, -0.3217, -3.6957]","[4.0, 4.0, 2.0]","[3.0, 1.0, 3.0]","[2.0, 2.0, 3.0]","[0.0, 0.0, 0.0]","[1.3845, -1.4301, 0.6692]","[4.0, 4.0, 3.0]","[1.0, 2.0, 1.0]","[2.0, 2.0, 1.0]","[0.0, 0.0, 3.0]","[0.4387, -1.7421, 0.0433]","[4.0, 5.0, 3.0]","[4.0, 2.0, 3.0]","[1.0, 4.0, 1.0]","[0.0, 0.0, 3.0]","[-0.4302, -0.5498, -0.3828]","[4.0, 4.0, 3.0]","[1.0, 5.0, 3.0]","[1.0, 5.0, 3.0]","[3.0, 0.0, 0.0]","[-0.2668, -0.5105, 0.3328]","[2.0, 4.0, 3.0]","[3.0, 2.0, 1.0]","[1.0, 2.0, 3.0]","[5.0, 0.0, 0.0]","[0.6976, -1.3265, 0.3061]","[5.0, 6.0, 3.0]","[3.0, 1.0, 1.0]"
24.0,"[2.0, 1.0]","[5.0, 5.0]","[-2.7606, 1.5455]","[3.0, 4.0]","[4.0, 1.0]","[2.0, 1.0]","[5.0, 5.0]","[-2.5886, 1.926]","[3.0, 4.0]","[2.0, 1.0]","[2.0, 1.0]","[2.0, 4.0]","[-2.5036, 2.8105]","[4.0, 4.0]","[3.0, 1.0]","[2.0, 2.0]","[2.0, 4.0]","[-2.9842, 3.2917]","[4.0, 5.0]","[3.0, 2.0]","[2.0, 1.0]","[5.0, 5.0]","[-2.8308, 1.4413]","[3.0, 4.0]","[4.0, 4.0]","[2.0, 2.0]","[2.0, 2.0]","[-2.2643, 1.8083]","[4.0, 4.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 2.0]","[0.218, 1.7189]","[3.0, 4.0]","[3.0, 4.0]","[1.0, 2.0]","[0.0, 2.0]","[1.6983, 1.4325]","[5.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[0.0, 2.0]","[-0.2569, 1.6493]","[7.0, 4.0]","[1.0, 1.0]","[3.0, 2.0]","[3.0, 5.0]","[-2.3795, 2.5569]","[6.0, 5.0]","[2.0, 2.0]"
25.0,"[4.0, 2.0, 2.0]","[5.0, 4.0, 5.0]","[0.1311, -1.7128, -0.1697]","[5.0, 3.0, 4.0]","[2.0, 1.0, 2.0]","[4.0, 2.0, 2.0]","[0.0, 4.0, 0.0]","[0.2162, -1.7201, -0.4356]","[7.0, 3.0, 7.0]","[2.0, 1.0, 1.0]","[5.0, 2.0, 6.0]","[5.0, 3.0, 0.0]","[0.7796, -1.728, -0.3815]","[5.0, 4.0, 7.0]","[3.0, 1.0, 3.0]","[1.0, 3.0, 5.0]","[3.0, 3.0, 0.0]","[0.6312, -1.0358, 0.1137]","[5.0, 4.0, 5.0]","[2.0, 2.0, 3.0]","[4.0, 2.0, 2.0]","[5.0, 4.0, 5.0]","[0.1983, -1.7108, -0.1087]","[5.0, 3.0, 4.0]","[2.0, 1.0, 2.0]","[1.0, 3.0, 5.0]","[3.0, 3.0, 0.0]","[-0.5699, 1.0994, 0.488]","[5.0, 4.0, 4.0]","[2.0, 2.0, 3.0]","[1.0, 3.0, 5.0]","[5.0, 5.0, 0.0]","[-0.7212, 0.4669, 0.2978]","[7.0, 4.0, 5.0]","[2.0, 2.0, 3.0]","[1.0, 3.0, 5.0]","[5.0, 0.0, 0.0]","[-0.5239, -0.1466, -0.3598]","[7.0, 4.0, 5.0]","[4.0, 3.0, 3.0]","[3.0, 3.0, 2.0]","[3.0, 5.0, 3.0]","[-0.9788, 2.1157, 1.0808]","[7.0, 4.0, 3.0]","[2.0, 2.0, 1.0]","[1.0, 3.0, 6.0]","[3.0, 3.0, 0.0]","[0.8218, 0.3949, 0.5442]","[3.0, 4.0, 5.0]","[2.0, 2.0, 2.0]"
