Dataseed	datadirname	use_training_form	binning	ignore_last_minutes	moving_average	regression_window_in_minutes	regression_step_in_minutes	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,1,0.01,0.4)train_accuracy	T(entropy,1,0.01,0.4)K	T(entropy,1,0.01,0.4)accuracy	T(entropy,1,0.01,0.4)macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_specificity	T(entropy,1,0.01,0.4)safe_macro_PPV	T(entropy,1,0.01,0.4)safe_macro_NPV	T(entropy,1,0.01,0.4)safe_macro_F1	T(entropy,1,0.01,0.4)n_nodes	T(entropy,1,0.01,0.4)n_leaves	T(entropy,1,0.01,0.4)height	T(entropy,1,0.01,0.4)modal_height	T(entropy,1,0.01,0.4)t	T(entropy,1,0.01,0.4)hash	T(entropy,1,0.01,0.6)train_accuracy	T(entropy,1,0.01,0.6)K	T(entropy,1,0.01,0.6)accuracy	T(entropy,1,0.01,0.6)macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_specificity	T(entropy,1,0.01,0.6)safe_macro_PPV	T(entropy,1,0.01,0.6)safe_macro_NPV	T(entropy,1,0.01,0.6)safe_macro_F1	T(entropy,1,0.01,0.6)n_nodes	T(entropy,1,0.01,0.6)n_leaves	T(entropy,1,0.01,0.6)height	T(entropy,1,0.01,0.6)modal_height	T(entropy,1,0.01,0.6)t	T(entropy,1,0.01,0.6)hash	T(entropy,1,0.001,0.4)train_accuracy	T(entropy,1,0.001,0.4)K	T(entropy,1,0.001,0.4)accuracy	T(entropy,1,0.001,0.4)macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_specificity	T(entropy,1,0.001,0.4)safe_macro_PPV	T(entropy,1,0.001,0.4)safe_macro_NPV	T(entropy,1,0.001,0.4)safe_macro_F1	T(entropy,1,0.001,0.4)n_nodes	T(entropy,1,0.001,0.4)n_leaves	T(entropy,1,0.001,0.4)height	T(entropy,1,0.001,0.4)modal_height	T(entropy,1,0.001,0.4)t	T(entropy,1,0.001,0.4)hash	T(entropy,1,0.001,0.6)train_accuracy	T(entropy,1,0.001,0.6)K	T(entropy,1,0.001,0.6)accuracy	T(entropy,1,0.001,0.6)macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_specificity	T(entropy,1,0.001,0.6)safe_macro_PPV	T(entropy,1,0.001,0.6)safe_macro_NPV	T(entropy,1,0.001,0.6)safe_macro_F1	T(entropy,1,0.001,0.6)n_nodes	T(entropy,1,0.001,0.6)n_leaves	T(entropy,1,0.001,0.6)height	T(entropy,1,0.001,0.6)modal_height	T(entropy,1,0.001,0.6)t	T(entropy,1,0.001,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_trees	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_trees	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	RF(0.7,100,half,all)train_accuracy	RF(0.7,100,half,all)K	RF(0.7,100,half,all)accuracy	RF(0.7,100,half,all)macro_sensitivity	RF(0.7,100,half,all)safe_macro_sensitivity	RF(0.7,100,half,all)safe_macro_specificity	RF(0.7,100,half,all)safe_macro_PPV	RF(0.7,100,half,all)safe_macro_NPV	RF(0.7,100,half,all)safe_macro_F1	RF(0.7,100,half,all)oob_error	RF(0.7,100,half,all)n_trees	RF(0.7,100,half,all)n_nodes	RF(0.7,100,half,all)σ² train_accuracy	RF(0.7,100,half,all)σ² K	RF(0.7,100,half,all)σ² accuracy	RF(0.7,100,half,all)σ² macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_specificity	RF(0.7,100,half,all)σ² safe_macro_PPV	RF(0.7,100,half,all)σ² safe_macro_NPV	RF(0.7,100,half,all)σ² safe_macro_F1	RF(0.7,100,half,all)σ² oob_error	RF(0.7,100,half,all)σ² n_trees	RF(0.7,100,half,all)σ² n_nodes	RF(0.7,100,half,all)t	RF(0.7,100,half,all)hash	
6	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(20,)]	98.37	0.98	43.43	37.45	37.45	69.09	33.83	66.98	24.29	49	25	8	7	56.637	c8b01d8053edcd59c0f54eaa7577f207f5bcb8620968d048620460f8f2278b7c	90.24	0.51	42.68	36.69	36.69	68.41	33.6	66.83	23.85	37	19	7	7	18.309	948df1dc072ac21855dbcb17914fbb27a8d859bfa3e30a6c7b8ea537a6074ac0	98.37	0.98	43.43	37.45	37.45	69.09	33.83	66.98	24.29	49	25	8	7	18.526	c8b01d8053edcd59c0f54eaa7577f207f5bcb8620968d048620460f8f2278b7c	90.24	0.51	42.68	36.69	36.69	68.41	33.6	66.83	23.85	37	19	7	7	17.993	948df1dc072ac21855dbcb17914fbb27a8d859bfa3e30a6c7b8ea537a6074ac0	99.51	3.3	46.34	42.07	42.07	73.52	35.0	67.72	26.16	0.0	5000.0	155120.0	0.0	0.0	0.06	0.15	0.15	0.01	0.0	0.0	0.02	0.0	0.0	29120.0	0.0	("81054dadc3bfaeecc016394cb851d970d1524c78ab9b7204dd5093c98b9c2b4a", "124cafe5135c8e21a1e7a0193bb8572f6e818bb2f3cb9311d04989f9d4c900db", "52fdc8f0366ce0195fb81dd3943a647c8ebff0751cc69b61e8ab0eb5783450fa", "ece94507273050b35382b9d45c0990b396b98d542d3327da133f8cb0a56123ed", "daf1814d90170886aa1b1033a34f399f2a5274af22734681c44c50790ffdfbb3")	100.0	3.0	47.1	39.75	39.75	73.37	34.74	67.64	26.07	53.66	10000.0	310800.0	0.0	0.0	0.01	0.02	0.02	0.02	0.0	0.0	0.0	0.06	0.0	174200.0	974.044	("a8ac43ae86ff3504c96a50b6fc1b7b38d8e5945ba5609a52048457a69178421f", "2d28bcec9dec6fc5d94e73fbfbe2ce1ea83d29968c634e40a6c2ee154a89e5e9", "a9e458e4122cec6d3367828be1fdf6cee524eb5351365c7d2b439f559e31f8f2", "24c83eba6dbf68c16fc6901e9a23dd1ee9b18bf59c35d428ad3e599a7466ef8b", "957bac8cb348cea62204867d1c419b8ca5f111998e6945a66d65638e1a9307ac")	
7	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(20,)]	97.56	3.15	49.49	45.1	45.1	71.17	34.91	67.6	27.57	43	22	9	7	86.278	1204d91904d9507922ec6681989a96d2db9d8145273a27852fb75391e79ffc78	85.37	2.64	49.49	39.1	39.1	70.75	34.53	67.47	27.0	27	14	7	6	45.896	8849b8b67a0c09698a4e5d3db3df4f00e5b881e33f6142e6c1c6e7560ce200e6	97.56	3.15	49.49	45.1	45.1	71.17	34.91	67.6	27.57	43	22	9	7	49.214	1204d91904d9507922ec6681989a96d2db9d8145273a27852fb75391e79ffc78	85.37	2.64	49.49	39.1	39.1	70.75	34.53	67.47	27.0	27	14	7	6	45.866	8849b8b67a0c09698a4e5d3db3df4f00e5b881e33f6142e6c1c6e7560ce200e6	100.0	3.73	51.28	52.62	52.62	71.16	35.48	67.71	29.13	0.0	5000.0	154080.0	0.0	0.0	0.04	0.07	0.07	0.0	0.0	0.0	0.0	0.0	0.0	62320.0	0.0	("e617a0b74b7d1253f704a8493e2c955074818ae4ff9b152cc5c5d2322d23055a", "b41e4d464f89d0c181481d72154f304504d12b82a10a5388b20ab51ac1cb7aac", "22b78a3abec71c08590c535bf966f4f8b4a501a4733bb14ae400bab0a121b747", "7fe98c72c699ba245770fc28f6cd31abf38ea7d534c1efd38a2e39589392ccfb", "753c1b9d06076399c45f75c31746002c8c2735a3f7e29b43df536daaa1e15e8c")	100.0	4.51	54.05	53.62	53.62	71.57	35.74	67.89	30.29	56.59	10000.0	308520.0	0.0	0.02	0.04	0.16	0.16	0.02	0.0	0.0	0.02	0.08	0.0	127720.0	1086.61	("0e0203bfa3048e3f2a1f23ddb26d82ee71248c720bb41fb9bc2e38dc6565bf48", "906fc2c9ee61ad2eb692c1b82a3efcb33b262ab1fc56f92a36e140b1fb49d354", "c33b590f9c151424b03a51849e1c038311cc4b51f7cb446a04d34535957bfe3d", "37b09dc1600d6f6956255893b3ce43f7b5e7c14ee6d48fa3caaca186e231603e", "b0d02461d43606e53fe9c10795b67cc81e3d362e82788301c60800be32fbd55f")	
8	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(20,)]	94.31	1.41	34.86	44.34	44.34	68.62	34.29	67.14	21.83	35	18	6	6	49.927	88da63476f7181048e8bddc33b87de1c297dc614dbcc4130103912928a495bfe	90.24	1.92	36.63	43.47	43.47	69.61	34.55	67.31	22.64	27	14	5	5	16.728	f911702cfe9e73ac17a12590f30040de984c9b3e619cc5c783c9722fb5e22bb9	94.31	1.41	34.86	44.34	44.34	68.62	34.29	67.14	21.83	35	18	6	6	18.176	88da63476f7181048e8bddc33b87de1c297dc614dbcc4130103912928a495bfe	90.24	1.92	36.63	43.47	43.47	69.61	34.55	67.31	22.64	27	14	5	5	16.544	f911702cfe9e73ac17a12590f30040de984c9b3e619cc5c783c9722fb5e22bb9	99.35	2.65	43.39	40.98	40.98	71.25	34.77	67.54	25.12	0.0	5000.0	150680.0	0.0	0.01	0.06	0.15	0.15	0.01	0.0	0.0	0.01	0.0	0.0	40320.0	0.0	("ecd06f2114bc12bfd27b129b86cc6958ae8612fa408440d7da7ac5a7488fc451", "7fe1d3f2e42e85a1aef0d54ce2b1a3b015b5d8785166a18e7de2afeefca393b7", "996138f518645ff80e40f368ca8672639660eed4c1f96101af38a4034b536354", "7906408be04f8ae572f78212caa555cc4cf654c74942d6d9e9812d3b7206bbb7", "9bd7626272812fb0e1dce28ad46602526d21d420a06d0aeb1819dbdba09c99d3")	100.0	2.72	43.86	41.15	41.15	71.56	34.85	67.56	25.36	51.06	10000.0	300800.0	0.0	0.0	0.01	0.04	0.04	0.01	0.0	0.0	0.0	0.06	0.0	91400.0	1153.207	("b00fbc06dc93ab57026bfdc185d68b4b167b7a5d669a81e7aa7d753fed417e29", "78436b2e92fbf60d8a5a34ede2f77135f8e8cc756fd307fb795aa3497befcd99", "8d20ba1c2ec00b04283e63e18c1368908b0489c413157a1c799d25530f877020", "6f350d263fcb378521afbe6dca6e6cc54886472a2145424f77a5a8b44ac7fa54", "8d9e89e3274a4481808bae294c0a8af89c0780800f093c03183d63be9967688c")	
9	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(20,)]	97.56	3.06	32.34	44.93	44.93	73.62	35.59	67.72	21.05	45	23	7	5	63.892	0c0f64e03e145d0caa5f3ef28f3d2555856ac9cee6bad6652985386ae237a1a5	91.87	2.87	31.87	44.27	44.27	73.08	35.46	67.66	20.83	37	19	7	5	22.776	fd7b1627d4a75eab966d094dd0f2cb0d0e25c302e15b5959fb582eb1a5350cbf	97.56	3.06	32.34	44.93	44.93	73.62	35.59	67.72	21.05	45	23	7	5	22.683	0c0f64e03e145d0caa5f3ef28f3d2555856ac9cee6bad6652985386ae237a1a5	91.87	2.87	31.87	44.27	44.27	73.08	35.46	67.66	20.83	37	19	7	5	22.585	fd7b1627d4a75eab966d094dd0f2cb0d0e25c302e15b5959fb582eb1a5350cbf	99.84	4.55	48.65	48.97	48.97	73.37	35.64	68.03	27.98	0.0	5000.0	153480.0	0.0	0.01	0.03	0.17	0.17	0.02	0.0	0.0	0.01	0.0	0.0	33720.0	0.0	("9489c8b100c2fa5d0ff0770552f1c7bd65b51e7b6b275a2b5e36cd143bf6a1f6", "03db4a5d79f7b2078d13005ed34c97ebaceb000a958b3a75d95f3c406cbe7390", "88a2e4bc93e1ae96e661f50ed37e1a59c3fc745c66b91c72e87a3b359c5fd993", "1a376200f37c4c849aa0164d4d9199db4f5d093f6ec3e5b56a4935b29f4248e9", "a2c452c77eabd50c80864a6f3b64d22bedbb0e6ffc7610d07d65d910eb693f7e")	100.0	4.36	49.64	47.53	47.53	72.9	35.49	67.96	28.16	59.02	10000.0	307960.0	0.0	0.0	0.02	0.18	0.18	0.0	0.0	0.0	0.01	0.01	0.0	160280.0	1061.917	("ba0b08943670d2ba49fa4e8c656b1d20681a9c9e9d2f588dd813ffce0826fe83", "d8c06d6da5d46eb973bd60bd716cfa26a669958c109ad104a61817007c5acba0", "25dee47b23ae0274687d85e2c5265b19e553a2b1fdbe14bf53693ef0977fed44", "8433012f0e4acd991dfb10963b5c8d32326d81a5fe43eb67e76f9980d2b202e6", "78ca8bc6920138be0feb4b8bd0dbcd275168faa805c8598671c97112bb56077f")	
10	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(20,)]	98.37	0.01	34.48	36.25	36.25	68.49	33.45	66.64	20.54	47	24	8	7	53.719	afb79ddb7bdd66fab13272551d9e1ef556afb63561c8012814fae70b168a2d6e	86.99	1.24	30.38	42.76	42.76	70.08	34.32	67.08	19.54	29	15	7	7	23.682	5b22ad763b523dbd34d32438fec7d6a54871fa230707c89203b36e9d7d102980	98.37	0.01	34.48	36.25	36.25	68.49	33.45	66.64	20.54	47	24	8	7	25.803	afb79ddb7bdd66fab13272551d9e1ef556afb63561c8012814fae70b168a2d6e	86.99	1.24	30.38	42.76	42.76	70.08	34.32	67.08	19.54	29	15	7	7	23.753	5b22ad763b523dbd34d32438fec7d6a54871fa230707c89203b36e9d7d102980	99.19	1.82	41.79	46.64	46.64	70.31	34.51	67.21	24.54	0.0	5000.0	149320.0	0.0	0.02	0.1	0.19	0.19	0.03	0.0	0.0	0.02	0.0	0.0	21520.0	0.0	("83539dde495ca1c358c7984bbea2869af4775c9486c2b678a68b445ab4802d83", "a579f9ee26a2c7b3f8d34b4df6d48b84c984363e0699a0d40e047822cbc28e43", "c7d09062c034f704a8a101481145f97539ef115324907e582392e196620ba1f1", "f77b39fa3ff620ef2bd18cb98e7e387c4a52efb5635c4110640985835a4ab15e", "4d8b8cc6a085af1bc897f4f0b81ec7ceb64f7f5c9f68dd71a7f408d63f2c63a6")	99.67	1.61	42.01	46.53	46.53	69.88	34.42	67.15	24.58	50.24	10000.0	300920.0	0.0	0.01	0.05	0.06	0.06	0.03	0.0	0.0	0.01	0.1	0.0	8720.0	978.7	("e9e2f61df03762892ab7d79733a677c081768a4f0a73fdcab498024cb3c66bc3", "ae115bbe8bc6a2c608c85242319962370c1974c123124107acc7bdd5d1bf2baf", "e9be9cb97395f95a917782726aa8d4214cf63236f3e21aff400efe29c629be22", "9dbed1abd726fcd04065ff80f879dbbe3e7581ec2cb03acae19046018060afa9", "383f265779fbbf29148742e3544c2728d7a68afd2ce62e94205c70405d27ea39")	
1	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(20,)]	96.18	7.41	52.01	40.41	40.41	74.67	36.55	69.04	31.68	133	67	12	9	1098.938	dc7a63b2e1b0aa932e9ec9225794fba798aa60a8e88897af7a62d004ce85aeff	88.55	7.81	53.3	40.9	40.9	74.78	36.72	69.15	32.33	93	47	11	9	285.583	31013ef33f28a3704adf66cbb17209343863970698f377ef1bdb2faa52f0513d	96.18	7.41	52.01	40.41	40.41	74.67	36.55	69.04	31.68	133	67	12	9	295.174	dc7a63b2e1b0aa932e9ec9225794fba798aa60a8e88897af7a62d004ce85aeff	88.55	7.81	53.3	40.9	40.9	74.78	36.72	69.15	32.33	93	47	11	9	280.303	31013ef33f28a3704adf66cbb17209343863970698f377ef1bdb2faa52f0513d	100.0	16.6	62.38	54.39	54.39	78.84	41.62	71.4	40.86	0.0	5000.0	539840.0	0.0	0.02	0.03	0.06	0.06	0.0	0.01	0.0	0.02	0.0	0.0	529480.0	0.0	("7380d0e68affe7fb9e4fe51f9a99694366a7cc764ff634be5fd41ced1a6585a3", "83e82fec349a9896ec49a127f0c1cfa41462b345eb2cdeab3ff39f64476c9ba1", "afc28d7f95784dbcd778217cde598062e07475dfc4134a42e594759a1f8f091c", "f322ba8e05de92deaa8e66f125cf5db2f326510bb20aed5157a4108c537b191c", "a0727ac345804e0bec4f2ba849902db7c407be82ad8309ec531d9e77d3c4922b")	100.0	17.63	63.24	55.9	55.9	79.28	42.11	71.66	41.73	45.66	10000.0	1.079e6	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.0	434600.0	8609.405	("d3edb799574617061b558affa146ded6f0ab98b2eaead4ea8244b8adbc4ebe1a", "7a448f67ac7b5b372891b0878e20e9b01b80076d2793b2c4523db83bb1369765", "6fd936082c0ef027a4ea347ed3a4e06879cab39a8338ed85b08bb210dd693fa6", "3a4115df1f87142eac350b445a19178219a4951922986bb51519f87d34335252", "df0848bb92b449cae4afec7e94889e1492519f595c7d1ea9b05852d9a40fa7d5")	
2	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(20,)]	96.18	12.94	55.59	52.86	52.86	76.98	39.97	70.44	37.1	133	67	13	11	598.056	48ff2ae95c0c17ecb978c3ded0fa43c7e96659fed15ed15de78e1fec81561ff8	88.15	10.96	53.01	51.14	51.14	75.38	39.05	69.89	35.4	93	47	12	11	303.851	23eecca1e177f2c6bda6d572555d993059802a4ea72e7f322b52745b95b6f754	96.18	12.94	55.59	52.86	52.86	76.98	39.97	70.44	37.1	133	67	13	11	307.367	48ff2ae95c0c17ecb978c3ded0fa43c7e96659fed15ed15de78e1fec81561ff8	88.15	10.96	53.01	51.14	51.14	75.38	39.05	69.89	35.4	93	47	12	11	305.285	23eecca1e177f2c6bda6d572555d993059802a4ea72e7f322b52745b95b6f754	99.96	17.33	62.06	55.46	55.46	79.76	42.05	71.65	41.18	0.0	5000.0	531680.0	0.0	0.02	0.02	0.04	0.04	0.01	0.01	0.0	0.01	0.0	0.0	96920.0	0.0	("6959d66019c67317a7ed11c5c89f74ab30a014d63a49c3d1a46dee255f599a22", "68ffb73bef58361b2eb2513382748765897152423b323efc0e5f70a948b1d0ab", "c09dc7f2c74ccf48ac4e4e39a9bff64b11e4f14b803ba44e1d7cb0b825e2679d", "1161e42c06ae92de8ae614a0559bc028f11b66b26fa186c8d3d466ca3f450ee5", "f33298e78f8ae5185d55629d2ba5c23df23dcd0468ad22c4bd88afbd245a24ee")	100.0	17.56	62.32	55.41	55.41	79.92	42.04	71.72	41.22	41.81	10000.0	1.06244e6	0.0	0.03	0.05	0.02	0.02	0.01	0.01	0.0	0.02	0.04	0.0	142880.0	9214.729	("3adc35478a974fac2f89d847c907cabaae5feb244dd402225b2cde1a5c31b16c", "b21ef031ff7a5e613ec1b75061e56e43f01154fa8897d3e37f15ea3dd230fbe2", "3f0de3fd26f9155a2419b6b736f0ee63dd0144134b6a98815c451e405f3c6ab1", "d0fa6e04437885d9b8700b2befd87eb950d82b91f2a50ca9ff122343ed8b3a35", "8db870092f54c7f5084d16442dbc2a8c94577a07a9f9be84ffc6455d989ea974")	
3	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(20,)]	97.19	12.4	53.15	50.45	50.45	78.19	39.63	70.44	35.44	155	78	17	16	438.13	89143c2856bcf5dddcf55bc4f6e754e6b34cf133ebbf62feb02ec44ab705feb3	87.75	12.59	53.87	50.73	50.73	78.1	39.69	70.47	35.83	103	52	17	16	232.844	69caeb7bb4faf4e64f6259be3e31b3743991da8847ca611d3737a2858bc4bbf8	97.19	12.4	53.15	50.45	50.45	78.19	39.63	70.44	35.44	155	78	17	16	235.019	89143c2856bcf5dddcf55bc4f6e754e6b34cf133ebbf62feb02ec44ab705feb3	87.75	12.59	53.87	50.73	50.73	78.1	39.69	70.47	35.83	103	52	17	16	231.764	69caeb7bb4faf4e64f6259be3e31b3743991da8847ca611d3737a2858bc4bbf8	99.92	20.03	58.65	64.67	64.67	82.43	44.05	72.47	42.39	0.0	5000.0	541280.0	0.0	0.03	0.05	0.06	0.06	0.01	0.01	0.0	0.03	0.0	0.0	255720.0	0.0	("de48418a880e213d9799382215039bdd77b88b4ae7f5ffc2275803f3cac46af3", "ece0de71e2a8eed2d16413881a4fb1ca00fd71dd2c98aa10b20ba40659df3241", "e97c2840d70e901f5966811d1fbfce10dee79798c61678c59379fceb42fe7257", "a35f0803526d1a3e712e998473c92927919688d92a9b8b4ec9cdb86cabaafd32", "7676463b68c6fa08347c348fa094c93ef75e1bd14552c12bc26ba49e913351b3")	100.0	21.64	60.34	66.64	66.64	83.31	44.79	72.88	43.8	43.13	10000.0	1.08264e6	0.0	0.03	0.03	0.05	0.05	0.01	0.01	0.0	0.02	0.02	0.0	267880.0	10023.597	("f9cffe7580de471b849ef00d3e166707ae3bf50ff9957bcc36d570f31804543a", "4c04df2ec1cc0dc1bf059bbf1f52f17282da711667e3830f2ff54b8ebc0fef76", "bbd44f57379053b961a9ead999851e76313917337fc4a216365ecedba00662ab", "dcc173ee15a6b65c038c1f39b247bbce1c9ac6451437414900c449483b03f0ee", "ae425b18747bc6f8e2010f21e9c762a6e38497d0d16c33c16c632e809b4d0458")	
4	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(20,)]	97.19	12.18	52.01	51.5	51.5	77.79	39.82	70.35	35.41	151	76	13	10	310.119	8fd4852a38be4fb1193abdcf5aeccec8be849a450fd92bfb10ca8a75ab2e0baa	89.16	13.28	53.72	53.63	53.63	78.05	40.41	70.61	36.79	103	52	13	10	174.224	d965168236eeae4a578e18d13af0bbe5d6f90aa75f49619cda179aa87e9b8dd6	97.19	12.18	52.01	51.5	51.5	77.79	39.82	70.35	35.41	151	76	13	10	176.55	8fd4852a38be4fb1193abdcf5aeccec8be849a450fd92bfb10ca8a75ab2e0baa	89.16	13.28	53.72	53.63	53.63	78.05	40.41	70.61	36.79	103	52	13	10	172.89	d965168236eeae4a578e18d13af0bbe5d6f90aa75f49619cda179aa87e9b8dd6	99.92	18.3	56.76	60.84	60.84	82.31	42.89	72.1	40.15	0.0	5000.0	536280.0	0.0	0.0	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	110920.0	0.0	("1bd902b88346046f55d9a51a3177db5b88f324ef89c351758030056e369939f1", "c112a173810de2191471158210094d136598dc8eaf4a2bb43b296786dbdf239f", "bc2f6d76277d3ee4e29a45bf703eb41a930c458b7dc7677fdcbda06ac143e766", "8b3cb1780b68df2b983c20f1da144e38dcb45bb2a03b5a4f76fff088c2af7b30", "022e0958a8f04491955f7621437be444bc715bebd5dbe506258dc49a3e00ff03")	99.96	20.67	59.57	63.98	63.98	83.38	43.99	72.7	42.43	42.33	10000.0	1.0732e6	0.0	0.0	0.0	0.03	0.03	0.0	0.0	0.0	0.0	0.01	0.0	644600.0	8764.268	("b6f37dce6671935fb5b022b7dbf205ba630387c7389332d9055b39ebc4031aba", "a1e0d0a7917fff9ca783f00844789b5f5e308569c0e9e6f3b95fe397cbf40081", "97e82368ab3fcde75b6e761d18a30fbe5c28eaf15d5fb151da47ae30586e31a7", "4ffe8b9f18e14c7652306fbbdc15d0ab54cb3b6f7b5048cca593f48b6112579c", "9fb5a179d008c5872a13c1fffaeec38925a10fb0b07696bfe3bb75548b502a82")	
5	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(20,)]	97.59	7.88	53.01	43.75	43.75	73.64	37.19	69.04	33.21	145	73	11	10	398.524	f039431b52c81ed87f8c1f16dc74d0d033b177e331540b8a25b2aae1f2546aae	87.35	8.45	52.44	43.53	43.53	74.83	37.61	69.25	33.26	95	48	11	10	298.06	73ada6532d4eb5594f9b05310f2da88ed602487f0f40a758a81ffdd9359d1a42	97.59	7.88	53.01	43.75	43.75	73.64	37.19	69.04	33.21	145	73	11	10	300.102	f039431b52c81ed87f8c1f16dc74d0d033b177e331540b8a25b2aae1f2546aae	87.35	8.45	52.44	43.53	43.53	74.83	37.61	69.25	33.26	95	48	11	10	296.039	73ada6532d4eb5594f9b05310f2da88ed602487f0f40a758a81ffdd9359d1a42	99.96	16.78	59.26	56.91	56.91	79.8	41.8	71.52	40.11	0.0	5000.0	530040.0	0.0	0.01	0.03	0.03	0.03	0.01	0.0	0.0	0.01	0.0	0.0	170080.0	0.0	("2ba4a5bb5ce0e2f8e784b623b036424e8f39ad33506a9c8782e2f225c8dad4f2", "5f8866c38571eaeee3b105814e24e9a6cebc36e49706ea4457545c8cc69e3138", "98d3c00a1e04b1e4eba485911d2687b2948f0fd4ada55b6c11cba9948e312ed3", "739b9f7b9e6ffb15074cbb4fabf3c022510b1c79ce1ab194034a53cc3fd6c310", "5c58d12c006fdc9ee81d4d07a739f410ac69dbb82d3d13f89ef4d1863eb15b15")	100.0	18.28	60.92	57.98	57.98	80.88	42.4	71.95	41.22	41.53	10000.0	1.0602e6	0.0	0.03	0.02	0.07	0.07	0.01	0.01	0.0	0.02	0.02	0.0	498400.0	10728.706	("5f06b37e49fb4077b831624a44c737c412c9ef6887aac6bb854044bc87c37d83", "638d546b06c52da3f9076b654d84092820e565bdab3719b5495f3ab6812de053", "74ec5a13ce424a29c61ceb069daeafe1cd688e77e5bacf45e54c68681b4c0ac2", "95ee719ae245a32e7452127976c790c63f5d4a89797d15fb2335b573fb432f65", "4879073403cf64137a5293e9b59a1a688b6ec151ac6bbdefc93a828e3f669b8a")	
